ï»¿Record Id,Created Time,HSLP ordered at,Platform database ID (Agent),Display name,Property city,State (Agent),Closing date,Property Status,Property Status Updated,Closing Date is Wrong,,
zcrm_1781014000142892526,3/25/2022,3/25/2022,,1122 East Leland Road # 152,Pittsburgh,,,,,false,,
zcrm_1781014000142106127,3/22/2022,3/22/2022,2870,810 Martin Luther King Dr. Bldg 2,San Antonio,Texas,,,,false,,
zcrm_1781014000141813149,3/21/2022,4/1/2022,70455,5420 Tupelo Drive,Plano,Texas,,,,false,,
zcrm_1781014000141295270,3/18/2022,3/20/2022,162033,8663 Charter Pt,San Antonio,Texas,,,,false,,
zcrm_1781014000140677785,3/16/2022,3/17/2022,156772,19985 CR 445,LINDALE,Texas,,,,false,,
zcrm_1781014000140626969,3/16/2022,3/16/2022,279171,2301 Harvard Oak Drive,Plano,Texas,,,,false,,
zcrm_1781014000140228900,3/15/2022,3/17/2022,713,4068 State Highway 97 E,Floresville,Texas,,,,false,,
zcrm_1781014000139639386,3/12/2022,3/17/2022,36324,4208 Wyatt St. #7,Pasadena,Texas,,,,false,,
zcrm_1781014000139581307,3/11/2022,3/12/2022,222495,0 N SCHARBAUER ST,goldsmith,Texas,,,,false,,
zcrm_1781014000139523242,3/11/2022,3/13/2022,74172,608 E 10th 1/2,Houston,Texas,,,,false,,
zcrm_1781014000139321404,3/10/2022,3/10/2022,26776,28710 Fitzroy Harbour,Katy,Texas,,,,false,,
zcrm_1781014000139298027,3/10/2022,7/22/2022,242768,312 N Douglas Street,Mart,Texas,,,,false,,
zcrm_1781014000139099491,3/9/2022,3/10/2022,79553,202 Plummer St,Oil City,Pennsylvania,,,,false,,
zcrm_1781014000139083088,3/9/2022,3/22/2022,56926,320 E State Hwy 46,Boerne,Texas,,,,false,,
zcrm_1781014000138684902,3/7/2022,3/9/2022,300838,11087 Dorrance lane,Meadows Place,Texas,,,,true,,
zcrm_1781014000138124020,3/3/2022,3/5/2022,193819,1104 FM 1564 W,Greenville,Texas,,,,false,,
zcrm_1781014000138105493,3/3/2022,3/3/2022,10215,21 Woodlodge,Huntsville,Texas,,,,false,,
zcrm_1781014000137845702,3/2/2022,4/1/2022,198602,10319 Greenwillow - Trojanowski,Houston,Texas,,,,false,,
zcrm_1781014000137308501,2/28/2022,2/28/2022,104465,7164 Texas R 2 Unit 306,Del Rio,Texas,,,,false,,
zcrm_1781014000137036542,2/25/2022,2/25/2022,63098,835 CR 304 E,Jarrell,Texas,,,,false,,
zcrm_1781014000136694698,2/24/2022,2/24/2022,204744,15265 Cliff Street,Hamshire,Texas,,,,false,,
zcrm_1781014000136331695,2/22/2022,2/22/2022,14024,1196/1198 Halpern,Houston,Texas,,,,false,,
zcrm_1781014000136288141,2/22/2022,2/22/2022,14210,123 Heidi Oaks,Houston,Texas,,,,false,,
zcrm_1781014000135527431,2/17/2022,2/17/2022,192529,213 Rae Anne Blvd,Livingston,Texas,,,,false,,
zcrm_1781014000135148735,2/16/2022,2/16/2022,199311,13569 Flower Pond,Saint Hedwig,Texas,,,,false,,
zcrm_1781014000134962592,2/15/2022,7/14/2022,185962,14717 Joy Lee Ln,Manor,Texas,,,,false,,
zcrm_1781014000134950081,2/15/2022,2/18/2022,79531,2818 W Master St,Philadelphia,Pennsylvania,,,,false,,
zcrm_1781014000134870228,2/14/2022,2/14/2022,ID:432eaa13-ee6b-4531-980e-03ba99ab2087,842 E Valley Blvd,Alhambra,California,"Feb 28, 2022",,,false,,
zcrm_1781014000134850129,2/14/2022,2/14/2022,48472,300 Bowie St #2902,Austin,Texas,,,,false,,
zcrm_1781014000134649877,2/13/2022,2/13/2022,,661 black champ rd,Waxahachie,,,,,false,,
zcrm_1781014000134065430,2/9/2022,2/9/2022,281508,2306 Love Road,killeen,Texas,,,,false,,
zcrm_1781014000133827946,2/8/2022,2/8/2022,13099,923 West Stone Avenue,White Deer,Texas,,,,false,,
zcrm_1781014000133825576,2/8/2022,2/13/2022,252460,1527 Beaconshire Road,Houston,Texas,"May 6, 2022",,,true,,
zcrm_1781014000133817240,2/8/2022,2/8/2022,286842,Brent Mullinix,Raywood,Texas,,,,false,,
zcrm_1781014000133555001,2/7/2022,2/9/2022,352,1605 E. Paseo Circle,Brownfield,Texas,,,,false,,
zcrm_1781014000133448254,2/5/2022,2/5/2022,104465,7164 Texas R 2 Unit 106,Del Rio,Texas,"Feb 22, 2022",,,false,,
zcrm_1781014000132647370,2/1/2022,2/8/2022,203215,8277 Kingsbrook Road #252,Houston,Texas,,,,false,,
zcrm_1781014000132313421,1/31/2022,5/9/2022,247415,17636 Highway 36,Guy,Texas,"Sep 19, 2022",,,false,,
zcrm_1781014000132303699,1/31/2022,2/17/2022,222689,2347 Washington Blvd,Franklin,Pennsylvania,,,,false,,
zcrm_1781014000131956400,1/27/2022,1/27/2022,208617,107 fm1191,Bryson,Texas,,,,false,,
zcrm_1781014000131361498,1/24/2022,1/25/2022,47581,13490 FM 2095,Gause,Texas,,,,false,,
zcrm_1781014000130236204,1/17/2022,1/19/2022,211795,157 Wilbur Bloom Blvd,East Stroudsburg,Pennsylvania,,,,false,,
zcrm_1781014000129431107,1/11/2022,1/11/2022,232849,23860 CR 374,Gladewater,Texas,,,,false,,
zcrm_1781014000129339601,1/11/2022,1/11/2022,18867,18325 Branson Falls,San Antonio,Texas,,,,false,,
zcrm_1781014000129022050,1/10/2022,1/10/2022,129627,4027 FM 2091 N,Gonzales,Texas,,,,false,,
zcrm_1781014000128807847,1/7/2022,1/7/2022,73677,3906 Sparkleberry Dr.,Corpus Christi,Texas,,,,false,,
zcrm_1781014000127873227,1/2/2022,1/2/2022,ID:e7f01e6f-b980-46e3-9420-a61c210957de,13601 Whittier Blvd,Whittier,California,,,,false,,
zcrm_1781014000126933184,12/27/2021,2/17/2022,150982,2047 Westcreek Lane #1203,Houston,Texas,,,,false,,
zcrm_1781014000125919740,12/20/2021,12/20/2021,ID:81019e9c-6081-4d04-a080-1119e820f955,280 Beacon Lane,Ukiah,California,,,,false,,
zcrm_1781014000125836147,12/20/2021,12/20/2021,116157,18252 CR 481,Lindale,Texas,,,,false,,
zcrm_1781014000125724900,12/18/2021,12/27/2021,3213,260 County Road 4802,Castroville,Texas,,,,false,,
zcrm_1781014000124916302,12/13/2021,12/15/2021,20592,7912 Rexford Dr,Fort Worth,Texas,,,,false,,
zcrm_1781014000124560359,12/10/2021,12/10/2021,242835,1058 Kc 470,Junction,Texas,,,,false,,
zcrm_1781014000123878139,12/6/2021,12/6/2021,260445,672 Broadway Street,Hanover,Pennsylvania,,,,false,,
zcrm_1781014000123702500,12/3/2021,12/13/2021,ID:4eb74241-6804-4f75-8255-82d6593b11f2,12324 Francis Drive,Grass Valley,California,,,,false,,
zcrm_1781014000123609156,12/3/2021,12/3/2021,154506,2802 Morrison St #206,Houston,Texas,,,,false,,
zcrm_1781014000123530617,12/3/2021,12/3/2021,58076,11613 American Mustang Loop,Manor,Texas,,,,false,,
zcrm_1781014000123438603,12/2/2021,12/2/2021,195563,3640 DUKE,BIG SPRING,Texas,,,,false,,
zcrm_1781014000123168379,12/1/2021,12/1/2021,,"george cosbuc, 1",iasi,,,,,false,,
zcrm_1781014000122988124,11/29/2021,12/2/2021,4752,6905 W Cleburne St,Fort Worth,Texas,,,,false,,
zcrm_1781014000122191060,11/23/2021,11/23/2021,231630,613 Chelsea Dr,Mission,Texas,,,,false,,
zcrm_1781014000121629294,11/19/2021,11/20/2021,226277,SN 60 Lake Cherokee,Henderson,Texas,"Sep 15, 2022",,,false,,
zcrm_1781014000121480240,11/18/2021,11/18/2021,153985,24654 Kingsland Blvd.,katy,Texas,,,,false,,
zcrm_1781014000121289403,11/17/2021,11/22/2021,71369,3290 B S Hwy 183,Gonzales,Texas,,,,false,,
zcrm_1781014000121281437,11/17/2021,11/19/2021,42334,634 CR 619,Skidmore,Texas,,,,false,,
zcrm_1781014000121007145,11/15/2021,11/16/2021,162784,6810 Fm 723 Road,Richmond,Texas,,,,false,,
zcrm_1781014000120975525,11/15/2021,11/15/2021,197481,15502 FM 2172 Schilling Farm HQ House,Darrouzett,Texas,,,,false,,
zcrm_1781014000120035052,11/10/2021,11/10/2021,98498,612 Benjamin Court,State College,Pennsylvania,,,,false,,
zcrm_1781014000119913542,11/9/2021,11/10/2021,21551,127 Stageline Dr (Two Story House),Kyle,Texas,"Dec 27, 2021",,,true,,
zcrm_1781014000119903773,11/9/2021,11/10/2021,21551,127 Stageline Dr (One Story House),Kyle,Texas,"Dec 27, 2021",,,false,,
zcrm_1781014000119683177,11/8/2021,11/8/2021,,"5049 Edwards Ranch Road, Ste. 220",Fort Worth,,,,,false,,
zcrm_1781014000119435127,11/5/2021,11/5/2021,,Elpaso,Colorado spring,,,,,false,,
zcrm_1781014000119347505,11/4/2021,11/4/2021,266722,3513 clearmont ave,Odessa,Texas,,,,false,,
zcrm_1781014000119291965,11/4/2021,11/4/2021,271580,715 S Tornillo St,Kermit,Texas,,,,false,,
zcrm_1781014000119259609,11/4/2021,11/4/2021,111064,5401 Asbury Court,Tyler,Texas,,,,false,,
zcrm_1781014000119187828,11/3/2021,11/3/2021,242835,915 Brushy Creek Trl,Bandera,Texas,,,,false,,
zcrm_1781014000118927476,11/2/2021,11/4/2021,120160,2525 N Pearl #1103,Dallas,Texas,,,,false,,
zcrm_1781014000118745925,11/1/2021,8/2/2021,ID:40676d01-8b7b-4c8e-97d1-0ac89c92cd59,13322 hiddendale #19,Saint Louis,Missouri,,,,false,,
zcrm_1781014000118483080,10/29/2021,10/30/2021,193018,4521 FM 1283,Pipe Creek,Texas,,,,false,,
zcrm_1781014000118322291,10/28/2021,10/28/2021,269216,402 Denver Blvd,San Antonio,Texas,,,,false,,
zcrm_1781014000118161858,10/27/2021,10/30/2021,169407,834 Firefly Drive,San Antonio,Texas,,,,false,,
zcrm_1781014000118151824,10/27/2021,10/28/2021,254990,1941 Horseshoe Bend,Tobyhanna,Pennsylvania,,,,false,,
zcrm_1781014000118015534,10/26/2021,10/26/2021,198217,400 S Old Hwy 81,Kyle,Texas,,,,false,,
zcrm_1781014000117746263,10/25/2021,10/25/2021,89610,2159 Onondaga Way,Tobyhanna,Pennsylvania,"Feb 18, 2022",,,true,,
zcrm_1781014000117634857,10/24/2021,10/24/2021,68255,122 E Brandon Drive,San Antonio,Texas,,,,false,,
zcrm_1781014000117617376,10/23/2021,10/23/2021,190775,11886 Hwy 12,Orange,Texas,,,,false,,
zcrm_1781014000116871611,10/19/2021,10/19/2021,221773,146 CR 3130,Colmesneil,Texas,,,,false,,
zcrm_1781014000116467957,10/17/2021,10/19/2021,11071,13459 CR 230,Somerville,Texas,,,,false,,
zcrm_1781014000116175657,10/14/2021,11/8/2021,42872,3714 Jasmine,Rowlett,Texas,,,,false,,
zcrm_1781014000116081084,10/14/2021,10/19/2021,79531,1238 Callowhill St #405,Philadelphia,Pennsylvania,,,,false,,
zcrm_1781014000115688006,10/12/2021,10/23/2021,,504 Heather Hills Drive (Barn Apt),Dripping Springs,,,,,false,,
zcrm_1781014000115638944,10/12/2021,10/13/2021,11071,CR 231,SOMERVILLE,Texas,,,,false,,
zcrm_1781014000115633507,10/12/2021,10/12/2021,,3326 Waxcande,Spring,,,,,false,,
zcrm_1781014000114834444,10/6/2021,10/6/2021,113358,1988 Gulf Street,Crystal Beach,Texas,,,,false,,
zcrm_1781014000114668056,10/5/2021,10/6/2021,113405,114 Capriccio Lane,Montgomery,Texas,,,,false,,
zcrm_1781014000113572190,9/28/2021,9/28/2021,122577,10098 CR 2124 D,Longview,Texas,,,,false,,
zcrm_1781014000113419303,9/28/2021,10/16/2021,3554,7514 Kalebs Pond Ct,Spring,Texas,,,,false,,
zcrm_1781014000111538430,9/18/2021,9/19/2021,141792,11125 N Country Squire St,Houston,Texas,,,,false,,
zcrm_1781014000111385899,9/17/2021,9/21/2021,70743,144 LCR 469,Mexia,Texas,,,,false,,
zcrm_1781014000110906497,9/14/2021,9/16/2021,,19919 FM973,Coupland,,,,,false,,
zcrm_1781014000110724153,9/13/2021,9/13/2021,222712,2974 Layton Dr Haltom Dr,Haltom City,Texas,,,,false,,
zcrm_1781014000110392021,9/10/2021,9/12/2021,107091,1030 CR 2215 WHITE RD,DAINGERFIELD,Texas,,,,false,,
zcrm_1781014000109453660,9/3/2021,9/4/2021,126074,410 Double M Dr. (Guest Home),Wimberley,Texas,,,,false,,
zcrm_1781014000109442487,9/3/2021,9/8/2021,3739,4625 County Road 191 E.,Kilgore,Texas,,,,false,,
zcrm_1781014000107261000,8/26/2021,9/23/2021,9553,15704 Grove Crest Drive,Frisco,Texas,,,,false,,
zcrm_1781014000106913812,8/25/2021,8/26/2021,160502,45-47 South 5th St,columbia,Pennsylvania,,,,false,,
zcrm_1781014000106853224,8/25/2021,11/3/2021,13580,4700 Boulder Dr Unit #1012,Midland,Texas,,,,false,,
zcrm_1781014000106853169,8/25/2021,11/2/2021,13580,4700 Boulder Dr Unit #1404,Midland,Texas,,,,false,,
zcrm_1781014000106851952,8/25/2021,11/2/2021,13580,4700 Boulder Dr Unit #1011,Midland,Texas,,,,false,,
zcrm_1781014000106849672,8/25/2021,8/25/2021,13580,4700 Boulder Dr Unit #714,Midland,Texas,"Nov 23, 2021",,,true,,
zcrm_1781014000106687592,8/24/2021,8/26/2021,133659,144 convent dr.,kyle,Texas,,,,false,,
zcrm_1781014000106344250,8/21/2021,8/21/2021,8777,5656 Boad Bay Lane,Fort Worth,Texas,,,,false,,
zcrm_1781014000105708697,8/18/2021,8/18/2021,110187,5960 HWY 12,Vidor,Texas,,,,false,,
zcrm_1781014000105702997,8/18/2021,8/18/2021,186312,10560 State Hwy 46 W,Spring Branch,Texas,,,,false,,
zcrm_1781014000105560970,8/17/2021,8/20/2021,62201,136 County road 3551,Paradise,Texas,,,,false,,
zcrm_1781014000105500691,8/17/2021,8/17/2021,186312,15060 State Hwy 46,Spring Branch,Texas,,,,false,,
zcrm_1781014000105481866,8/17/2021,8/18/2021,186312,15090 State Hwy 46 W,Spring Branch,Texas,,,,false,,
zcrm_1781014000105251179,8/15/2021,8/15/2021,28573,3420 Lyndhurst St #707,Austin,Texas,,,,false,,
zcrm_1781014000105062263,8/13/2021,11/20/2021,7904,6802 Baron Dr,Midland,Texas,,,,false,,
zcrm_1781014000105021775,8/13/2021,8/16/2021,101761,315 S Centre St,Pottsville,Pennsylvania,,,,false,,
zcrm_1781014000103681459,8/5/2021,8/5/2021,116932,23701 W Farmers,Amarillo,Texas,,,,false,,
zcrm_1781014000103674072,8/4/2021,8/4/2021,68302,4605 S 2nd Unit A,Austin,Texas,,,,false,,
zcrm_1781014000103661658,8/4/2021,8/5/2021,68302,4605 S 2nd Unit B,Austin,Texas,,,,false,,
zcrm_1781014000103613611,8/4/2021,8/14/2021,3706,4075 W. Hwy 190,San Saba,Texas,,,,false,,
zcrm_1781014000102655118,7/28/2021,7/28/2021,230844,524 Lovers Ln,Alto,Texas,,,,false,,
zcrm_1781014000100710026,7/15/2021,7/15/2021,88526,656 West 7th Street,Erie,Pennsylvania,,,,false,,
zcrm_1781014000100702707,7/15/2021,7/15/2021,171763,13385 Blackgum Ave.,Beaumont,Texas,,,,false,,
zcrm_1781014000100576059,7/15/2021,9/8/2021,32797,13652 CR 431,Tyler,Texas,,,,false,,
zcrm_1781014000100301677,7/13/2021,7/13/2021,62674,19902 Hwy 82,Honey Grove,Texas,,,,false,,
zcrm_1781014000100079402,7/12/2021,7/12/2021,47300,13200 IH 35,Jarrell,Texas,,,,false,,
zcrm_1781014000098714856,7/2/2021,7/3/2021,970,14901 Windward Unit #403,Corpus Christi,Texas,,,,false,,
zcrm_1781014000098210586,6/29/2021,7/1/2021,113408,27963 Deer Run St.,Montgomery,Texas,,,,false,,
zcrm_1781014000097059454,6/22/2021,6/24/2021,48442,1450 FM 2342,Kingsland,Texas,,,,false,,
zcrm_1781014000096901384,6/22/2021,6/22/2021,80090,331 Shannon Dr.,Long Pond,Pennsylvania,,,,false,,
zcrm_1781014000095856302,6/15/2021,6/16/2021,5239,"15262 State Hwy 198,",Mabank,Texas,"Aug 23, 2021",,,false,,
zcrm_1781014000095839758,6/15/2021,7/26/2021,170223,901 CR 3925,Wolfe City,Texas,,,,false,,
zcrm_1781014000095053015,6/9/2021,6/15/2021,4725,2984 N Hwy 78,Bonham,Texas,"Mar 9, 2022",,,false,,
zcrm_1781014000094983027,6/9/2021,6/9/2021,,8878 FM 1810,Chico,,,,,false,,
zcrm_1781014000093896312,6/2/2021,6/2/2021,153616,110 Hwy 60 N,Bay City,Texas,,,,false,,
zcrm_1781014000093705089,6/1/2021,6/1/2021,120613,1310 East James Street #28,Baytown,Texas,,,,false,,
zcrm_1781014000093561239,6/1/2021,6/1/2021,147603,13569 CR 313E,Tyler,Texas,,,,false,,
zcrm_1781014000092913345,5/26/2021,7/7/2022,176863,105 Jeffery Dr,Cedar Creek,Texas,,,,false,,
zcrm_1781014000091892588,5/19/2021,5/19/2021,1009,3933 Haden Dr,Odessa,Texas,,,,false,,
zcrm_1781014000089611062,5/5/2021,5/5/2021,ID:25d09136-da01-4831-8885-83d393288684,2702 LEE ST,GREENVILLE,Texas,,,,false,,
zcrm_1781014000089173633,5/2/2021,5/3/2021,28986,130 Flycatcher Cove,Cedar Creek,Texas,"Jun 17, 2021",,,false,,
zcrm_1781014000088561092,4/28/2021,5/4/2021,5670,20904 Waterside Dr #3,Lago Vista,Texas,,,,false,,
zcrm_1781014000088028081,4/24/2021,4/25/2021,3739,182 Cr 1331,Rusk,Texas,,,,false,,
zcrm_1781014000087509459,4/20/2021,4/20/2021,54147,801 Luther Street #1406,College Station,Texas,,,,false,,
zcrm_1781014000087419619,4/20/2021,4/20/2021,114803,116 9th st altoona pa,altoona,Pennsylvania,,,,false,,
zcrm_1781014000085926262,4/8/2021,4/9/2021,24691,10461 Aliann Road,San Antonio,Texas,,,,false,,
zcrm_1781014000084908368,3/31/2021,4/6/2021,,7824 Gardenia Dr.,Gilmer,,,,,false,,
zcrm_1781014000084776988,3/31/2021,4/1/2021,56803,2625 Rock View,Waco,Texas,,,,false,,
zcrm_1781014000084432580,3/29/2021,3/31/2021,48601,4543 Stratford Pl,San. Antonio,Texas,,,,false,,
zcrm_1781014000084314181,3/27/2021,3/28/2021,58342,4221 State Highway 81,Itasca,Texas,"May 28, 2021",,,false,,
zcrm_1781014000083829788,3/24/2021,3/24/2021,191559,1517B Haddon St,Houston,Texas,,,,false,,
zcrm_1781014000083306507,3/18/2021,3/20/2021,64463,448 Elm St,Kingsland,Texas,"Aug 16, 2021",,,false,,
zcrm_1781014000083208124,3/18/2021,4/5/2021,123832,17576 CR 2195,Whitehouse,Texas,,,,false,,
zcrm_1781014000083149353,3/17/2021,3/23/2021,9973,10021 Fossil Valley Dr,Fort Worth,Texas,"Apr 16, 2021",,,false,,
zcrm_1781014000082804551,3/15/2021,3/17/2021,144020,104 N 2nd St Unit #201,Philadelphia,Pennsylvania,,,,false,,
zcrm_1781014000081187011,3/2/2021,3/17/2021,48624,827 Long Creek Blvd,New Braunfels,Texas,,,,false,,
zcrm_1781014000081102571,3/2/2021,3/2/2021,160502,2561 Mount Clay Drive,effort,Pennsylvania,,,,false,,
zcrm_1781014000079847311,2/18/2021,2/23/2021,77254,3717 Garret Road,Drexel Hill,Pennsylvania,,,,false,,
zcrm_1781014000079846666,2/18/2021,2/19/2021,160502,2561 Mount Clay Drive,effort,Pennsylvania,,,,false,,
zcrm_1781014000079309196,2/12/2021,2/14/2021,114801,1032-36,Duncansville,Pennsylvania,,,,false,,
zcrm_1781014000079206600,2/11/2021,2/16/2021,3554,14446 Hwy 6 South,Navasota,Texas,,,,false,,
zcrm_1781014000079095957,2/10/2021,2/10/2021,73936,586 Riverforest Drive,New Braunfels,Texas,,,,false,,
zcrm_1781014000076685661,1/19/2021,1/27/2021,29087,12349 Westbury Ave.,El Paso TX,Texas,,,,false,,
zcrm_1781014000076590970,1/18/2021,1/26/2021,71328,14604 Lake Crescent Drive,Conroe,Texas,,,,false,,
zcrm_1781014000075773201,1/8/2021,1/11/2021,32366,1450 Highway 30 E,Huntsville,Texas,,,,false,,
zcrm_1781014000075630951,1/7/2021,1/7/2021,ID:33396a10-2e23-408c-8045-658d1b3b635c,680 Alberta Avenue #L,Sunnyvale,California,,,,false,,
zcrm_1781014000073820012,12/17/2020,12/18/2020,8258,1803 Richardson Ave #101,Dallas,Texas,,,,false,,
zcrm_1781014000073723461,12/17/2020,12/18/2020,8258,1803 Richardson Ave #106,Dallas,Texas,,,,false,,
zcrm_1781014000072784609,12/8/2020,12/8/2020,7170,826 Venado Hills,San Antonio,Texas,,,,false,,
zcrm_1781014000071934324,12/2/2020,12/9/2020,,1555 Bering Drive #128,Houston,,,,,false,,
zcrm_1781014000071577536,11/28/2020,11/28/2020,2523,580 Rangeland Road,Seguin,Texas,,,,false,,
zcrm_1781014000069868257,11/10/2020,11/10/2020,28981,465 CR 6753,Devine,Texas,"Feb 28, 2021",,,false,,
zcrm_1781014000069420184,11/5/2020,11/11/2020,,6027 FM 543,McKinney,,,,,false,,
zcrm_1781014000069119311,11/2/2020,11/10/2020,161309,"1409 Possum Trot, Unit A",Austin,Texas,,,,false,,
zcrm_1781014000069113367,11/2/2020,11/10/2020,161309,"1409 Possum Trot, Unit B",Austin,Texas,,,,false,,
zcrm_1781014000068736071,10/29/2020,10/31/2020,51430,2707 Hampton Park,Manvel,Texas,,,,false,,
zcrm_1781014000068651209,10/28/2020,10/28/2020,149130,1742 Bradenburg Dr,San Antonio,Texas,"Mar 3, 2021",,,true,,
zcrm_1781014000064506241,9/17/2020,9/27/2020,59768,2710 Grants Lake Blvd #11,Sugar Land,Texas,"Dec 11, 2020",,,true,,
zcrm_1781014000060768875,8/7/2020,8/7/2020,,10868 Carneie Dr,Forest Park,,,,,false,,
zcrm_1781014000058543004,7/16/2020,7/16/2020,,"2106 E State Highway 114, Ste 101",Southlake,,,,,false,,
zcrm_1781014000057575196,7/6/2020,8/31/2021,21146,"3800 Holland Ave., Suite 13",Dallas,Texas,,,,false,,
zcrm_1781014000055482156,6/12/2020,3/7/2021,110187,132 Grand Chase Dr,Nederland,Texas,,,,false,,
zcrm_1781014000050143724,4/8/2020,4/8/2020,,2106 E State Highway 114 Ste 101,Southlake,,,,,false,,
zcrm_1781014000049796121,4/3/2020,4/3/2020,36304,3005 Rocky 0Poont,Pearland,Texas,,,,false,,
zcrm_1781014000049619853,4/1/2020,4/1/2020,29963,4101 Preservation Cove,Austin,Texas,,,,false,,
zcrm_1781014000036412574,9/12/2019,9/28/2019,,6601 E County Rd 52,Midland,,"Oct 28, 2019",,,false,,
zcrm_1781014000034712806,8/19/2019,8/19/2019,2999,11737 US Hwy 281N,Spring Branch,Texas,,,,false,,
zcrm_1781014000021508028,11/26/2018,11/26/2018,,230 Dwyer Ave #704,Sasn Antonio,,,,,false,,
,,,,,,,,,,,,
,,,,,,,,,,,,
